"ProdLine","ItemNumber","Description","StdPrice","Multiplier","Price","ProdLinePricing","BreakQty1","PriceRate1","BreakQty2","PriceRate2","BestPrice"
"ALTM","ALT33KT01","Tempress Plate Adapter Kit",63.00,"0.5000 ",31.50,0.00,0.00,0.00,0.00,0.00,31.50
"ALTM","ALTHFCART","3/4"" High Flow Therm Cart",183.00,"0.5000 ",91.50,0.00,0.00,0.00,0.00,0.00,91.50
"ALTM","ALTIW58-TEM2","Ext Stem",36.00,"0.5000 ",18.00,0.00,0.00,0.00,0.00,0.00,18.00
"ALTM","ALTODC3 CI","Hot Ceramic Cart (Roman Tub)",49.00,"0.5000 ",24.50,0.00,0.00,0.00,0.00,0.00,24.50
"ALTM","ALTODC3 JK","Hot Comp Cart",92.00,"0.5000 ",46.00,0.00,0.00,0.00,0.00,0.00,46.00
"ALTM","ALTODC4 CI","Cold Ceramic Cart (Roman Tub)",49.00,"0.5000 ",24.50,0.00,0.00,0.00,0.00,0.00,24.50
"ALTM","ALTODC4 JK","Cold Comp Cart",92.00,"0.5000 ",46.00,0.00,0.00,0.00,0.00,0.00,46.00
"ALTM","ALTODC5","Hot Ceramic Cart (Roman Tub)",63.00,"0.5000 ",31.50,0.00,0.00,0.00,0.00,0.00,31.50
"ALTM","ALTODC6","Cold Ceramic Cart (Roman Tub)",63.00,"0.5000 ",31.50,0.00,0.00,0.00,0.00,0.00,31.50
"ALTM","ALTOLC3 CI","Hot Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC3 IT","Hot Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC3 IW","Hot Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC3 JK","Hot Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC4 CI","Cold Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC4 IT","Cold Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC4 IW","Cold Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOLC4 JK","Cold Ceramic Cart",37.00,"0.5000 ",18.50,0.00,0.00,0.00,0.00,0.00,18.50
"ALTM","ALTOM35","Press Bal Cart",149.00,"0.5000 ",74.50,0.00,0.00,0.00,0.00,0.00,74.50
"ALTM","ALTOM36","Filter Screens (2)",19.00,"0.5000 ",9.50,0.00,0.00,0.00,0.00,0.00,9.50
"ALTM","ALTOWC3 IT","Hot Ceramic Cart",56.00,"0.5000 ",28.00,0.00,0.00,0.00,0.00,0.00,28.00
"ALTM","ALTOWC3 ITS","Hot Ceramic Cart-Spec Length",56.00,"0.5000 ",28.00,0.00,0.00,0.00,0.00,0.00,28.00
"ALTM","ALTOWC4 IT","Cold Ceramic Cart",56.00,"0.5000 ",28.00,0.00,0.00,0.00,0.00,0.00,28.00
"ALTM","ALTOWC4 ITS","Cold Ceramic Cart-Spec Length",56.00,"0.5000 ",28.00,0.00,0.00,0.00,0.00,0.00,28.00
"ALTM","ALTTHEXCART","Therm Cart",175.00,"0.5000 ",87.50,0.00,0.00,0.00,0.00,0.00,87.50
"AMEC","1005-1700","Yoke",10.28,"0.5166 ",5.31,0.00,0.00,0.00,0.00,0.00,5.31
"AMEC","1010-1700","Washer",1.60,"0.5166 ",0.83,0.00,0.00,0.00,0.00,0.00,0.83
"AMEC","1028-0700","Washer",0.50,"0.5166 ",0.26,0.00,0.00,0.00,0.00,0.00,0.26
"AMEC","1037-1700","Washer",1.56,"0.5166 ",0.81,0.00,0.00,0.00,0.00,0.00,0.81
"AMEC","1039-0070A","Gasket",3.30,"0.5166 ",1.70,0.00,0.00,0.00,0.00,0.00,1.70
"AMEC","1039-0700","Gasket",3.30,"0.5166 ",1.70,0.00,0.00,0.00,0.00,0.00,1.70
"AMEC","10509-0990A","PB Shwrhead",32.20,"0.5166 ",16.63,0.00,0.00,0.00,0.00,0.00,16.63
"AMEC","10520-0700","Set Screw",0.87,"0.5166 ",0.45,0.00,0.00,0.00,0.00,0.00,0.45
"AMEC","10521-0400","Stop Ring",8.75,"0.5166 ",4.52,0.00,0.00,0.00,0.00,0.00,4.52
"AMEC","10526-0700","Vol Control Shaft",4.14,"0.5166 ",2.14,0.00,0.00,0.00,0.00,0.00,2.14
"AMEC","10527-0070A","Stop Kit",12.50,"0.5166 ",6.46,0.00,0.00,0.00,0.00,0.00,6.46
"AMEC","10529-0700","Stem Nut",2.62,"0.5166 ",1.35,0.00,0.00,0.00,0.00,0.00,1.35
"AMEC","10532-0070A","Balancing Spool Kit",76.00,"0.5166 ",39.26,0.00,0.00,0.00,0.00,0.00,39.26
"AMEC","10536-0200","CP Ultra Mix Esch S/A",23.40,"0.5166 ",12.09,0.00,0.00,0.00,0.00,0.00,12.09
"AMEC","10540-0020A","Esch Cap",8.00,"0.5166 ",4.13,0.00,0.00,0.00,0.00,0.00,4.13
"AMEC","10540-0200","Cart Cover",8.00,"0.5166 ",4.13,0.00,0.00,0.00,0.00,0.00,4.13
"AMEC","10540-0200A","Esch Cap",28.30,"0.5166 ",14.62,0.00,0.00,0.00,0.00,0.00,14.62
"AMEC","10551-0070A","Ballcock Lever w/ Screw",14.70,"0.5166 ",7.59,0.00,0.00,0.00,0.00,0.00,7.59
"AMEC","10740-0700","Lever Assy",6.21,"0.5166 ",3.21,0.00,0.00,0.00,0.00,0.00,3.21
"AMEC","10756-0700","Brass Vol Reg Stem",2.87,"0.5166 ",1.48,0.00,0.00,0.00,0.00,0.00,1.48
"AMEC","10765-0070A","Vol Control Stem",3.70,"0.5166 ",1.91,0.00,0.00,0.00,0.00,0.00,1.91
"AMEC","1077-0700","Washer",0.52,"0.5166 ",0.27,0.00,0.00,0.00,0.00,0.00,0.27
"AMEC","10881-0700","Dial Plate",9.50,"0.5166 ",4.91,0.00,0.00,0.00,0.00,0.00,4.91
"AMEC","10884-0200","Ultra Mix Vol Control Lever",6.60,"0.5166 ",3.41,0.00,0.00,0.00,0.00,0.00,3.41
"AMEC","10885-0020A","CP Index Btn",4.20,"0.5166 ",2.17,0.00,0.00,0.00,0.00,0.00,2.17
"AMEC","10885-0990A","PB Index Btn",3.29,"0.5166 ",1.70,0.00,0.00,0.00,0.00,0.00,1.70
"AMEC","10889-0020A","CP Lever Hdle",12.90,"0.5166 ",6.66,0.00,0.00,0.00,0.00,0.00,6.66
"AMEC","10921-0020A","Screw",2.11,"0.5166 ",1.09,0.00,0.00,0.00,0.00,0.00,1.09
"AMEC","10921-0900","Screw",0.76,"0.5166 ",0.39,0.00,0.00,0.00,0.00,0.00,0.39
"AMEC","1101-2700","Sleeve",3.80,"0.5166 ",1.96,0.00,0.00,0.00,0.00,0.00,1.96
"AMEC","11014-0070A","Mtg Kit",10.37,"0.5166 ",5.36,0.00,0.00,0.00,0.00,0.00,5.36
"AMEC","1106-1700","Washer",1.20,"0.5166 ",0.62,0.00,0.00,0.00,0.00,0.00,0.62
